team,W,L,W-L%,GB,year,League
Boston Red Sox,108,54,0.667,--,2018,MLB
New York Yankees,100,62,0.617,8.0,2018,MLB
Tampa Bay Rays,90,72,0.556,18.0,2018,MLB
Toronto Blue Jays,73,89,0.451,35.0,2018,MLB
Baltimore Orioles,47,115,0.29,61.0,2018,MLB
Cleveland Indians,91,71,0.562,--,2018,MLB
Minnesota Twins,78,84,0.48100000000000004,13.0,2018,MLB
Detroit Tigers,64,98,0.395,27.0,2018,MLB
Chicago White Sox,62,100,0.38299999999999995,29.0,2018,MLB
Kansas City Royals,58,104,0.358,33.0,2018,MLB
Houston Astros,103,59,0.636,--,2018,MLB
Oakland Athletics,97,65,0.599,6.0,2018,MLB
Seattle Mariners,89,73,0.5489999999999999,14.0,2018,MLB
Los Angeles Angels,80,82,0.494,23.0,2018,MLB
Texas Rangers,67,95,0.414,36.0,2018,MLB
Atlanta Braves,90,72,0.556,--,2018,MLB
Washington Nationals,82,80,0.506,8.0,2018,MLB
Philadelphia Phillies,80,82,0.494,10.0,2018,MLB
New York Mets,77,85,0.475,13.0,2018,MLB
Miami Marlins,63,98,0.391,26.5,2018,MLB
Milwaukee Brewers,96,67,0.589,--,2018,MLB
Chicago Cubs,95,68,0.583,1.0,2018,MLB
St. Louis Cardinals,88,74,0.5429999999999999,7.5,2018,MLB
Pittsburgh Pirates,82,79,0.509,13.0,2018,MLB
Cincinnati Reds,67,95,0.414,28.5,2018,MLB
Los Angeles Dodgers,92,71,0.564,--,2018,MLB
Colorado Rockies,91,72,0.5579999999999999,1.0,2018,MLB
Arizona Diamondbacks,82,80,0.506,9.5,2018,MLB
San Francisco Giants,73,89,0.451,18.5,2018,MLB
San Diego Padres,66,96,0.40700000000000003,25.5,2018,MLB
Boston Red Sox,93,69,0.574,--,2017,MLB
New York Yankees,91,71,0.562,2.0,2017,MLB
Tampa Bay Rays,80,82,0.494,13.0,2017,MLB
Toronto Blue Jays,76,86,0.469,17.0,2017,MLB
Baltimore Orioles,75,87,0.46299999999999997,18.0,2017,MLB
Cleveland Indians,102,60,0.63,--,2017,MLB
Minnesota Twins,85,77,0.525,17.0,2017,MLB
Kansas City Royals,80,82,0.494,22.0,2017,MLB
Chicago White Sox,67,95,0.414,35.0,2017,MLB
Detroit Tigers,64,98,0.395,38.0,2017,MLB
Houston Astros,101,61,0.623,--,2017,MLB
Los Angeles Angels,80,82,0.494,21.0,2017,MLB
