team,W,L,W/L%,GB,PS/G,PA/G,SRS,year,League
Toronto Raptors* (1),59,23,0.72,—,111.7,103.9,7.29,2018,NBA
Boston Celtics* (2),55,27,0.6709999999999999,4.0,104.0,100.4,3.23,2018,NBA
Philadelphia 76ers* (3),52,30,0.634,7.0,109.8,105.3,4.3,2018,NBA
Cleveland Cavaliers* (4),50,32,0.61,9.0,110.9,109.9,0.59,2018,NBA
Indiana Pacers* (5),48,34,0.585,11.0,105.6,104.2,1.18,2018,NBA
Miami Heat* (6),44,38,0.537,15.0,103.4,102.9,0.15,2018,NBA
Milwaukee Bucks* (7),44,38,0.537,15.0,106.5,106.8,-0.45,2018,NBA
Washington Wizards* (8),43,39,0.524,16.0,106.6,106.0,0.53,2018,NBA
Detroit Pistons (9),39,43,0.47600000000000003,20.0,103.8,103.9,-0.26,2018,NBA
Charlotte Hornets (10),36,46,0.439,23.0,108.2,108.0,0.07,2018,NBA
New York Knicks (11),29,53,0.354,30.0,104.5,108.0,-3.53,2018,NBA
Brooklyn Nets (12),28,54,0.341,31.0,106.6,110.3,-3.67,2018,NBA
Chicago Bulls (13),27,55,0.32899999999999996,32.0,102.9,110.0,-6.84,2018,NBA
Orlando Magic (14),25,57,0.305,34.0,103.4,108.2,-4.92,2018,NBA
Atlanta Hawks (15),24,58,0.293,35.0,103.4,108.8,-5.3,2018,NBA
Houston Rockets* (1),65,17,0.7929999999999999,—,112.4,103.9,8.21,2018,NBA
Golden State Warriors* (2),58,24,0.7070000000000001,7.0,113.5,107.5,5.79,2018,NBA
Portland Trail Blazers* (3),49,33,0.598,16.0,105.6,103.0,2.6,2018,NBA
Oklahoma City Thunder* (4),48,34,0.585,17.0,107.9,104.4,3.42,2018,NBA
Utah Jazz* (5),48,34,0.585,17.0,104.1,99.8,4.47,2018,NBA
New Orleans Pelicans* (6),48,34,0.585,17.0,111.7,110.4,1.48,2018,NBA
San Antonio Spurs* (7),47,35,0.573,18.0,102.7,99.8,2.89,2018,NBA
Minnesota Timberwolves* (8),47,35,0.573,18.0,109.5,107.3,2.35,2018,NBA
Denver Nuggets (9),46,36,0.561,19.0,110.0,108.5,1.57,2018,NBA
Los Angeles Clippers (10),42,40,0.512,23.0,109.0,109.0,0.15,2018,NBA
Los Angeles Lakers (11),35,47,0.42700000000000005,30.0,108.1,109.6,-1.44,2018,NBA
Sacramento Kings (12),27,55,0.32899999999999996,38.0,98.8,105.8,-6.6,2018,NBA
Dallas Mavericks (13),24,58,0.293,41.0,102.3,105.4,-2.7,2018,NBA
Memphis Grizzlies (14),22,60,0.268,43.0,99.3,105.5,-5.81,2018,NBA
Phoenix Suns (15),21,61,0.256,44.0,103.9,113.3,-8.8,2018,NBA
Boston Celtics* (1),53,29,0.6459999999999999,—,108.0,105.4,2.25,2017,NBA
Cleveland Cavaliers* (2),51,31,0.622,2.0,110.3,107.2,2.87,2017,NBA
Toronto Raptors* (3),51,31,0.622,2.0,106.9,102.6,3.65,2017,NBA
Washington Wizards* (4),49,33,0.598,4.0,109.2,107.4,1.36,2017,NBA
Atlanta Hawks* (5),43,39,0.524,10.0,103.2,104.0,-1.23,2017,NBA
Milwaukee Bucks* (6),42,40,0.512,11.0,103.6,103.8,-0.45,2017,NBA
Indiana Pacers* (7),42,40,0.512,11.0,105.1,105.3,-0.64,2017,NBA
Chicago Bulls* (8),41,41,0.5,12.0,102.9,102.4,0.03,2017,NBA
Miami Heat (9),41,41,0.5,12.0,103.2,102.1,0.77,2017,NBA
Detroit Pistons (10),37,45,0.451,16.0,101.3,102.5,-1.29,2017,NBA
Charlotte Hornets (11),36,46,0.439,17.0,104.9,104.7,-0.07,2017,NBA
New York Knicks (12),31,51,0.37799999999999995,22.0,104.3,108.0,-3.87,2017,NBA
Orlando Magic (13),29,53,0.354,24.0,101.1,107.6,-6.61,2017,NBA
Philadelphia 76ers (14),28,54,0.341,25.0,102.4,108.1,-5.83,2017,NBA
Brooklyn Nets (15),20,62,0.244,33.0,105.8,112.5,-6.74,2017,NBA
Golden State Warriors* (1),67,15,0.8170000000000001,—,115.9,104.3,11.35,2017,NBA
San Antonio Spurs* (2),61,21,0.7440000000000001,6.0,105.3,98.1,7.13,2017,NBA
Houston Rockets* (3),55,27,0.6709999999999999,12.0,115.3,109.6,5.84,2017,NBA
Los Angeles Clippers* (4),51,31,0.622,16.0,108.7,104.4,4.42,2017,NBA
Utah Jazz* (5),51,31,0.622,16.0,100.7,96.8,4.0,2017,NBA
Oklahoma City Thunder* (6),47,35,0.573,20.0,106.6,105.8,1.14,2017,NBA
Memphis Grizzlies* (7),43,39,0.524,24.0,100.5,100.0,0.96,2017,NBA
Portland Trail Blazers* (8),41,41,0.5,26.0,107.9,108.5,-0.23,2017,NBA
Denver Nuggets (9),40,42,0.488,27.0,111.7,111.2,0.7,2017,NBA
New Orleans Pelicans (10),34,48,0.415,33.0,104.3,106.4,-1.69,2017,NBA
Dallas Mavericks (11),33,49,0.402,34.0,97.9,100.8,-2.53,2017,NBA
Sacramento Kings (12),32,50,0.39,35.0,102.8,106.7,-3.29,2017,NBA
Minnesota Timberwolves (13),31,51,0.37799999999999995,36.0,105.6,106.7,-0.64,2017,NBA
Los Angeles Lakers (14),26,56,0.317,41.0,104.6,111.5,-6.29,2017,NBA
Phoenix Suns (15),24,58,0.293,43.0,107.7,113.3,-5.14,2017,NBA
Cleveland Cavaliers* (1),57,25,0.695,—,104.3,98.3,5.45,2016,NBA
Toronto Raptors* (2),56,26,0.6829999999999999,1.0,102.7,98.2,4.08,2016,NBA
Miami Heat* (3),48,34,0.585,9.0,100.0,98.4,1.5,2016,NBA
Atlanta Hawks* (4),48,34,0.585,9.0,102.8,99.2,3.49,2016,NBA
Boston Celtics* (5),48,34,0.585,9.0,105.7,102.5,2.84,2016,NBA
Charlotte Hornets* (6),48,34,0.585,9.0,103.4,100.7,2.36,2016,NBA
Indiana Pacers* (7),45,37,0.5489999999999999,12.0,102.2,100.5,1.62,2016,NBA
Detroit Pistons* (8),44,38,0.537,13.0,102.0,101.4,0.43,2016,NBA
Chicago Bulls (9),42,40,0.512,15.0,101.6,103.1,-1.46,2016,NBA
Washington Wizards (10),41,41,0.5,16.0,104.1,104.6,-0.5,2016,NBA
