"Year Level","Qualification","Academic Year","Typical Level Flag","Cumulative Year Attainment Rate","Current Year Attainment Rate","Cumulative Year Attainment","Current Year Attainment","Total Student Count","Cohort Warning"
"11","NCEA Level 1","2009","1","0.606","0.599","38956","38528","64295",""
"11","NCEA Level 1","2010","1","0.63","0.623","40095","39681","63668",""
"11","NCEA Level 1","2011","1","0.631","0.623","40152","39641","63629",""
"11","NCEA Level 1","2012","1","0.653","0.644","40001","39448","61299",""
"11","NCEA Level 1","2013","1","0.7","0.693","42761","42334","61125",""
"11","NCEA Level 1","2014","1","0.724","0.718","43071","42689","59482",""
"11","NCEA Level 1","2015","1","0.745","0.738","45235","44843","60735",""
"11","NCEA Level 1","2016","1","0.752","0.746","45859","45493","60952",""
"11","NCEA Level 1","2017","1","0.75","0.743","44512","44104","59342",""
"11","NCEA Level 1","2018","1","0.72","0.713","43035","42605","59795",""
"12","NCEA Level 1","2009","0","0.789","0.123","44649","6956","56562",""
"12","NCEA Level 1","2010","0","0.805","0.131","46024","7478","57184",""
"12","NCEA Level 1","2011","0","0.81","0.118","47002","6831","58049",""
"12","NCEA Level 1","2012","0","0.816","0.121","46868","6957","57426",""
"12","NCEA Level 1","2013f","0","0.846","0.139","47533","7838","56193",""
"12","NCEA Level 1","2014","0","0.87","0.117","48847","6560","56176",""
"12","NCEA Level 1","2015","0","0.879","0.11","48513","6097","55183",""
"12","NCEA Level 1","2016","0","0.888","0.104","50608","5917","57004",""
"12","NCEA Level 1","2017","0","0.889","0.098","50815","5578","57136",""
"12","NCEA Level 1","2018","0","0.888","0.099","49258","5467","55490",""
"13","NCEA Level 1","2009","0","0.867","0.031","37910","1348","43724",""
"13","NCEA Level 1","2010","0","0.872","0.033","40119","1522","46025",""
"13","NCEA Level 1","2011","0","0.87","0.026","41785","1257","48014",""
"13","NCEA Level 1","2012","0","0.88","0.031","42392","1499","48181",""
"13","NCEA Level 1","2013","0","0.887","0.044","44154","2166","49789",""
"13","NCEA Level 1","2014","0","0.904","0.027","43036","1288","47606",""
"13","NCEA Level 1","2015","0","0.912","0.025","44670","1214","49007",""
"13","NCEA Level 1","2016","0","0.915","0.024","44284","1157","48421",""
